sample_id,input_type,bam_path,fastq_r1,fastq_r2,species,population,region,reef_site,lat,lon
Ofav_96,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_96_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_96_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_97,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_97_CKDL250017112-1A_22V3V2LT4_L3_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Ofav_97_CKDL250017112-1A_22V3V2LT4_L3_2.fq.gz,Ofaveolata,FL_RR,FL,RR,,
Ofav_99,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofav_99.bwa.dedup.clip.bam,,,Ofaveolata,FL_RR,Lower Keys,Key West patch reef,24.50075,-81.7417
Ofra_1,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_1.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Lower Keys,Ballast Key patch reef,24.48245,-81.9550333
Ofra_10,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_10.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,East Turtle Shoal,24.7111167,-80.9467167
Ofra_11,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_11.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,East Turtle Shoal,24.7007167,-80.9651
Ofra_12,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_12.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,East Turtle Shoal,24.7007167,-80.96585
Ofra_13,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_13.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,AAA,25.16785,-80.2678833
Ofra_14,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_14.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Caloosa Rocks,24.83715,-80.7287833
Ofra_16,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_16.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Lower Matecumbe,24.8129167,-80.6693333
Ofra_17,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_17.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Middle Keys,Indian Key Patch,24.8589333,-80.6583667
Ofra_18,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Ofra_18.bwa.dedup.clip.bam,,,Ofranksi,FL_RR,Upper Keys,Triangles 1,25.0156,-80.4256667
